						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
276			830   				109				0				167				167
279			2537   				67				23				189				212
280			2539   				68				22				190				212
281			2547   				68				22				191				213
288			2555   				69				24				195				219
295			2563   				70				27				198				225
296			2568   				70				27				199				226
296			2574   				71				27				198				225
297			2577   				71				27				199				226
297			2579   				71				27				199				226
301			2580   				71				28				202				230
302			2585   				73				26				203				229
304			2590   				73				27				204				231
304			2593   				73				27				204				231
305			2601   				75				27				203				230
306			2603   				75				27				204				231
308			2606   				76				27				205				232
310			2608   				76				28				206				234
311			2611   				76				28				207				235
311			2615   				76				28				207				235
316			2619   				77				29				210				239
317			2623   				77				29				211				240
317			2624   				77				29				211				240
318			2625   				77				29				212				241
321			2630   				78				30				213				243
321			2631   				78				30				213				243
322			2637   				78				31				213				244
324			2641   				79				31				214				245
326			2652   				81				31				214				245
328			2494   				61				20				247				267
334			2660   				83				32				219				251
334			2662   				83				32				219				251
335			2663   				83				32				220				252
339			2665   				83				33				223				256
340			2666   				83				33				224				257
340			2667   				83				33				224				257
342			2672   				84				33				225				258
342			2674   				84				33				225				258
346			2678   				84				34				228				262
350			2518   				65				20				265				285
354			2686   				86				37				231				268
354			2687   				86				37				231				268
355			2689   				86				37				232				269
358			2710   				89				37				232				269
358			2711   				89				37				232				269
359			2712   				89				37				233				270
359			2714   				89				37				233				270
360			2716   				90				37				233				270
361			2542   				68				22				271				293
361			2733   				91				37				233				270
362			2734   				91				37				234				271
362			2735   				91				39				232				271
363			2738   				92				38				233				271
363			2739   				92				39				232				271
365			2744   				92				39				234				273
365			2748   				93				38				234				272
366			2751   				93				38				235				273
367			2755   				93				39				235				274
367			2756   				93				39				235				274
368			2761   				94				38				236				274
368			2764   				94				40				234				274
369			2766   				94				40				235				275
369			2767   				94				40				235				275
370			2768   				94				41				235				276
370			2771   				96				39				235				274
371			2772   				96				39				236				275
371			2774   				96				39				236				275
372			2777   				96				42				234				276
372			2778   				96				42				234				276
373			2781   				97				43				233				276
373			2784   				97				43				233				276
375			2792   				99				44				232				276
375			2794   				99				45				231				276
376			2795   				99				45				232				277
376			2796   				99				45				232				277
378			2803   				100				50				228				278
379			2805   				100				50				229				279
379			2806   				100				52				227				279
380			2825   				103				56				221				277
381			2827   				103				56				222				278
382			2842   				104				65				213				278
382			2843   				104				68				210				278
383			2844   				104				68				211				279
383			2846   				104				68				211				279
384			2616   				77				28				279				307
384			2847   				106				93				185				278
385			2849   				106				95				184				279
386			2850   				106				96				184				280
388			2618   				77				29				282				311
391			2636   				78				30				283				313
394			2889   				112				111				171				282
394			2655   				81				31				282				313
395			2657   				81				32				282				314
395			2658   				81				32				282				314
396			2892   				114				117				165				282
397			2896   				114				119				164				283
397			2899   				114				119				164				283
398			2901   				114				120				164				284
398			2902   				115				121				162				283
399			2904   				115				122				162				284
399			2908   				115				122				162				284
400			2911   				115				123				162				285
401			2664   				83				32				286				318
401			2914   				116				125				160				285
402			2915   				116				125				161				286
402			2916   				116				126				160				286
403			2917   				116				126				161				287
403			2918   				116				127				160				287
404			2921   				116				127				161				288
404			2922   				116				128				160				288
408			2675   				84				34				290				324
409			2947   				120				137				152				289
409			2950   				120				138				151				289
410			2953   				120				140				150				290
412			2961   				121				143				148				291
414			2976   				122				147				145				292
415			2682   				86				37				292				329
416			2979   				124				148				144				292
416			2983   				124				149				143				292
417			2693   				88				37				292				329
418			2694   				88				37				293				330
418			2721   				90				37				291				328
419			2741   				92				39				288				327
419			2742   				92				39				288				327
420			2750   				93				38				289				327
420			2786   				97				44				279				323
421			2790   				97				44				280				324
421			2797   				99				46				276				322
422			2801   				99				46				277				323
422			2802   				99				46				277				323
423			2822   				101				53				269				322
423			2830   				103				57				263				320
424			2848   				106				94				224				318
424			2851   				106				97				221				318
425			2855   				106				98				221				319
425			2856   				106				99				220				319
426			2858   				107				102				217				319
426			2861   				107				102				217				319
427			2862   				107				103				217				320
427			2863   				107				103				217				320
428			2867   				107				104				217				321
428			2870   				110				105				213				318
429			2871   				110				106				213				319
429			2885   				112				108				209				317
430			2887   				112				109				209				318
430			2888   				112				110				208				318
431			2894   				114				118				199				317
431			2912   				115				123				193				316
432			2929   				117				129				186				315
432			2931   				117				129				186				315
433			2937   				118				132				183				315
433			2940   				118				133				182				315
434			2941   				118				133				183				316
434			2942   				118				134				182				316
435			2944   				118				135				182				317
435			2951   				120				139				176				315
436			2956   				120				141				175				316
436			2957   				121				142				173				315
437			2967   				121				144				172				316
437			2968   				122				145				170				315
438			2970   				122				146				170				316
438			2974   				122				146				170				316
439			2978   				122				147				170				317
439			2999   				125				149				165				314

War ended at time step: 439
Battle Result : Win
			Earth Forces
 ES count : 0		ET count : 211		EG count : 625
	ES_Destructed/ ES_Total = 100%
	ET_Destructed/ ET_Total = 13.1687%
	EG_Destructed/ EG_Total = 0%
	ES_Infected_Healed/ ES_Total = 88.2883%

Total_Destructed/ Total units = 14.6067%

	Average Df, Dd, Db respectively = 23.4825, 94.8182, 119.664

			Alien Forces
 AS count : 0		AD count : 0		AM count : 0
	AS_Destructed/ AS_Total = 100%
	AD_Destructed/ AD_Total = 100%
	AM_Destructed/ AM_Total = 100%

Total_Destructed/ Total units = 100%

	Average Df, Dd, Db respectively = 34.149, 79.56, 113.709
