						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
108			2853   				106				0				2				2
109			2470   				57				21				31				52
109			2471   				57				21				31				52
109			2278   				34				19				56				75
109			2854   				106				0				3				3
109			2832   				103				0				6				6
109			2852   				106				0				3				3
110			108   				15				6				89				95
110			2324   				38				13				59				72
110			806   				107				H				0				3
110			2480   				58				20				32				52
111			2234   				29				44				38				82
111			2875   				110				0				1				1
111			2878   				110				0				1				1
111			2872   				110				0				1				1
111			2874   				110				0				1				1
112			2363   				44				16				52				68
112			2366   				44				16				52				68
112			684   				92				H				0				20
113			2355   				43				23				47				70
113			2890   				112				0				1				1
113			2886   				112				0				1				1
113			2883   				112				0				1				1
113			2882   				112				0				1				1
114			2402   				48				45				21				66
114			355   				46				H				0				68
115			2717   				90				15				10				25
115			2206   				26				86				3				89
115			2898   				114				0				1				1
116			2907   				115				0				1				1
117			2605   				76				35				6				41
119			192   				25				15				79				94
119			2945   				118				0				1				1
119			2943   				118				0				1				1
120			2923   				116				1				3				4
120			872   				116				H				0				4
120			2386   				47				17				56				73
120			2390   				47				17				56				73
121			2391   				47				17				57				74
121			2182   				23				2				96				98
121			2952   				120				0				1				1
122			2150   				19				11				92				103
123			2273   				33				35				55				90
123			2762   				94				3				26				29
123			2718   				90				5				28				33
123			2876   				110				5				8				13
123			2973   				122				0				1				1
123			2975   				122				0				1				1
123			2972   				122				0				1				1
124			2523   				65				21				38				59
124			2758   				93				5				26				31
125			2396   				48				18				59				77
125			2295   				35				26				64				90
125			2100   				13				9				103				112
126			2533   				67				21				38				59
126			2860   				107				2				17				19
126			2654   				81				20				25				45
126			2997   				125				0				1				1
126			2995   				125				0				1				1
126			2994   				125				0				1				1
126			2990   				125				0				1				1
127			2705   				89				2				36				38
127			2988   				124				0				3				3
127			2987   				124				0				3				3
127			2986   				124				0				3				3
127			2984   				124				0				3				3
127			910   				122				H				0				5
128			2545   				68				22				38				60
128			2548   				68				22				38				60
128			2971   				122				0				6				6
128			2963   				121				0				7				7
129			2982   				124				4				1				5
129			2980   				124				4				1				5
129			2946   				120				0				9				9
129			905   				122				H				0				7
130			2484   				61				3				66				69
130			2536   				67				3				60				63
130			2964   				121				0				9				9
130			2935   				118				1				11				12
131			2653   				81				2				48				50
131			2559   				69				59				3				62
131			2676   				84				42				5				47
131			2962   				121				0				10				10
131			2932   				117				0				14				14
132			2587   				73				40				19				59
132			2948   				120				0				12				12
132			2936   				118				1				13				14
132			2556   				69				24				39				63
133			2934   				117				0				16				16
133			2893   				114				0				19				19
134			2928   				117				15				2				17
134			2926   				117				15				2				17
135			2727   				91				41				3				44
135			2610   				76				27				32				59
136			2930   				117				18				1				19
136			2869   				110				25				1				26
137			2444   				54				58				25				83
137			2820   				101				1				35				36
138			2408   				51				18				69				87
138			2900   				114				12				12				24
138			2927   				117				20				1				21
138			2817   				101				36				1				37
139			2409   				51				18				70				88
139			2410   				51				18				70				88
139			2924   				117				20				2				22
140			2814   				101				38				1				39
140			2810   				100				0				40				40
140			2920   				116				0				24				24
140			2800   				99				0				41				41
141			2910   				115				0				26				26
141			2906   				115				0				26				26
141			2780   				96				0				45				45
142			2417   				51				19				72				91
142			2793   				99				42				1				43
142			2776   				96				0				46				46
143			2576   				71				27				45				72
143			2745   				92				0				51				51
144			90   				14				6				124				130
144			2543   				68				21				55				76
144			2895   				114				0				30				30
144			2881   				112				2				30				32
144			2740   				92				0				52				52
145			2207   				26				93				26				119
145			2770   				96				47				2				49
145			2731   				91				0				54				54
145			2829   				103				6				36				42
145			2729   				91				0				54				54
146			417   				53				32				61				93
146			2425   				52				20				74				94
146			2347   				40				32				74				106
146			2831   				103				0				43				43
146			2722   				90				0				56				56
147			2604   				75				62				10				72
147			2708   				89				0				58				58
147			2819   				101				1				45				46
148			996   				135				0				13				13
148			2826   				103				44				1				45
148			2704   				89				58				1				59
148			2698   				88				0				60				60
149			2690   				86				0				63				63
150			994   				135				4				11				15
150			2435   				53				52				45				97
150			2815   				101				47				2				49
150			2696   				88				61				1				62
151			2812   				100				0				51				51
152			983   				134				0				18				18
153			2685   				86				65				2				67
153			2683   				86				65				2				67
153			2807   				100				51				2				53
153			2643   				79				6				68				74
154			189   				25				13				116				129
154			2432   				53				20				81				101
154			2434   				53				20				81				101
154			2799   				99				0				55				55
154			2632   				78				0				76				76
155			136   				19				9				127				136
155			583   				80				25				50				75
155			2782   				97				57				1				58
156			978   				133				0				23				23
156			2437   				53				20				83				103
156			2438   				53				20				83				103
156			2595   				75				27				54				81
156			2707   				89				17				50				67
156			2532   				67				37				52				89
156			2638   				79				75				2				77
156			2779   				96				0				60				60
157			316   				42				25				90				115
157			195   				25				16				116				132
157			2977   				122				2				33				35
157			2628   				78				78				1				79
157			2621   				77				0				80				80
157			2775   				96				0				61				61
158			2613   				76				0				82				82
159			974   				133				14				12				26
159			2415   				51				17				91				108
159			2607   				76				82				1				83
159			2753   				93				0				66				66
160			2443   				54				21				85				106
160			2274   				33				0				127				127
160			2598   				75				0				85				85
160			2743   				92				0				68				68
161			2541   				68				54				39				93
161			2933   				117				31				13				44
161			2594   				75				84				2				86
161			2583   				73				87				1				88
161			2736   				91				0				70				70
161			2575   				71				0				90				90
162			973   				133				16				13				29
162			2446   				54				21				87				108
162			2447   				54				21				87				108
163			65   				10				3				150				153
163			22   				4				1				158				159
163			59   				10				2				151				153
163			2140   				18				3				142				145
163			2730   				91				0				72				72
